Algo,Vers,Args,Dataset,Seed,Score,Train,Test,Dur,Model
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,982897,0.143904473,0.143904473,927.526,()+(14*B2)/((24*B2)+(-18*B2+2)/((25*B2)+(-4)/((-30*B2)+(2)/((-3)+(12*B2+2)/((B2-7)))))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,795993283,0.143945795,0.143945795,996.158,(-18*B2)+(6*B2-8)/((17*B2-4)+(-15*B2+1)/((12*B2+1)+(-16*B2)/((-1)))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,573149506,0.143996217,0.143996217,939.859,(-11*B2+16)+(16)/((2*B2)+(13*B2+1)/((4*B2+9)+(-14)/((14*B2-2)+(4)/((22*B2)+(17*B2)/((-18)+()/((-20*B2)+()/((8*B2+14)+(10)/(())))))))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-l_b,1339061,0.144038894,0.144038894,905.506,(-19)+(-8*B2+68)/((B2+11)+(-23*B2-59)/((-7*B2+53))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,720171473,0.144040639,0.144040639,933.549,(41)+(-20)/((-14)+(20)/((-26*B2)+(-11)/((22*B2)+(-12)/((10*B2))))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,996899548,0.144041444,0.144041444,940.018,(-11*B2+79)+(-103*B2)/((-10*B2-1)),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-l_b,874573871,0.14404536,0.14404536,933.518,()+(6)/((1)+(-26)/((-2*B2)+(-13)/((-17)+(28*B2+10)/((11))))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,242535398,0.144050895,0.144050895,925.421,(-7*B2)+(33)/((-37*B2-3)),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,808250046,0.144051202,0.144051202,966.449,(-15*B2+10)+(13*B2-15)/((11*B2+1)),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,102684315,0.144058466,0.144058466,941.845,(11*B2-7)+(9*B2-14)/((-12*B2-1)),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-l_b,996899548,0.144062341,0.144062341,910.574,(-30)+(-22)/((-2*B2-27)+(-11*B2)/((10*B2-57)+(56)/((-17*B2)))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,179016853,0.144065758,0.144065758,924.522,()+(B2+8)/((13*B2+1)+(6*B2+1)/((15*B2-2)+(-13*B2)/((-7*B2+1)+()/((7*B2+20))))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-l_b,420875574,0.144066574,0.144066574,903.051,()+(25*B2)/((-B2-15)),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,89115150,0.144069375,0.144069375,927.322,(-4*B2+41)+(-53*B2)/((-8*B2-1)+(26*B2)/((-8))),
memetico,55f1db5586534a15a2e5b296a9d9d3f9511f4bb5,argsdd_adp-rnd-dc_5-dm_stale-ext-f_10-g_1000-ld_0.2-ls_cnm-mr_0.2-mt_900-p_18-o_pcor,pbf-adim-t-b_l,874573871,0.144072659,0.144072659,911.899,(-2*B2+4)+(-9*B2+1)/((-13*B2-2)),
